Re,seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
400,69,57.16047081794922,-4.766049861907959,6.168580055236816,-2.5426599979400635,0.21583899855613708,0.04132194773045929,15373
400,70,57.990624176712764,-4.5806097984313965,5.373569965362549,-2.6934099197387695,0.16353200376033783,0.038360912007843216,15366
400,71,58.82129479685547,-4.4488301277160645,4.576260089874268,-2.8856201171875,0.10580699890851974,0.03654420392263311,24244
400,72,59.65213676257265,-4.359389781951904,3.7751200199127197,-3.0868000984191895,0.07809329777956009,0.036581294640576925,24243
400,73,60.482991119405085,-4.302830219268799,2.9672200679779053,-3.272320032119751,0.05338750034570694,0.035645078827136814,15049
400,74,61.31375836162845,-4.2709197998046875,2.150599956512451,-3.421610116958618,0.05183279886841774,0.03549608100387359,14731
400,75,62.14437155840476,-4.255879878997803,1.3255399465560913,-3.516309976577759,0.06902839988470078,0.03748259676070674,2794
400,76,62.97479990485258,-4.249859809875488,0.4954780042171478,-3.5402300357818604,0.09662120044231415,0.0373178380617613,27594
400,77,63.80505770220977,-4.244480133056641,-0.33261099457740784,-3.4804999828338623,0.11671199649572372,0.03947660704510137,32034
400,78,64.6352138248602,-4.23045015335083,-1.1487499475479126,-3.329240083694458,0.14635400474071503,0.04215370853382995,32031
400,79,65.4653297462275,-4.197169780731201,-1.9412200450897217,-3.0843400955200195,0.16434599459171295,0.04554489334004228,14708
400,80,66.29548198428112,-4.132160186767578,-2.6977999210357666,-2.7489099502563477,0.18637900054454803,0.05023398424589761,30476
400,81,67.12569501672249,-4.020390033721924,-3.405819892883301,-2.330019950866699,0.19668200612068176,0.05290738250053753,8785
400,82,67.95605094151607,-3.8440001010894775,-4.051119804382324,-1.8381199836730957,0.2043599933385849,0.05195519161813532,26443
400,83,68.78617544016466,-3.5784099102020264,-4.611730098724365,-1.2864999771118164,0.204026997089386,0.0497446730061464,16897
